,model,task,accuracy,precision,recall,f1,train_time_s,params
Scratch Binary,BiLSTM (scratch),Binary (2),,,,,,
FineTune Binary,DistilBERT (fine-tuned),Binary (2),0.9911,0.9882,0.9879,0.9881,234.08159971237183,66955010
